PI_number,Height
PI92270,0.45484486000851
PI329310,0.631443769013172
PI569443,0.403120521175818
PI152728,0.484299839346786
PI330185,0.697229342759718
PI656015,0.123851640967086
PI154844,0.595496221825574
PI455217,0.640481436970422
PI535794,0.184691430817599
PI157804,0.472756449317212
PI300119,0.501059262217751
PI562985,0.409933123331295
PI569452,0.0128372247051722
PI152694,0.382017042574868
PI585577,0.60530504614111
PI569446,0.363611979892144
PI562732,0.6232492903979
PI563332,0.694605198933569
PI329511,0.565847818673518
PI569421,-0.0506099933550872
PI251672,0.492760389026838
PI550604,0.184691430817599
PI569097,0.550228353055094
PI576399,0.409933123331295
PI156203,0.528916700277655
PI643016,0.562292864456475
PI329584,0.587710965018911
PI154844,0.557507201905658
PI526905,0.0791812460476248
PI330168,0.429752280002408
