PI_number,log_dry_weight
PI330181,2.27712357347469
PI330182,2.42642514899044
PI330182,2.20309089616445
PI330182,2.68353666362047
PI330184,2.23345802176136
PI330184,2.06944209111763
PI330184,1.96943411988653
PI330185,2.33000659043571
PI330185,2.18680433925143
PI330185,2.43616788245972
PI330195,1.935784684651
PI330195,2.30586536052072
PI330195,2.06431961411589
PI330196,2.07780864939938
PI330196,2.43104540545797
PI330196,1.8809389787307
PI330199,1.8294822176616
PI330199,2.06086043082136
PI330199,1.90117597465708
PI330796,2.12546669862657
PI330796,1.90396936502257
PI330803,2.11528439543389
PI330803,2.1211408298709
PI330807,2.46587129993865
PI330807,1.935784684651
PI330807,1.8809389787307
PI330833,2.10478169806886
PI330833,1.96482979584393
PI330858,2.11528439543389
PI330858,2.06774331798213
PI330858,2.46587129993865
PI337680,2.02023699592638
PI337680,1.8431089342012
PI337689,2.22399510838472
PI337689,2.12973722425826
PI35038,1.88684724271532
PI35038,1.9578019952011
PI365512,1.67259115186281
PI365512,1.69413463947928
PI365512,1.4829934222459
PI452542,1.96482979584393
PI452542,2.49123601882516
PI452542,2.21861965887986
PI452544,2.33692116173116
PI452544,2.61702937516232
PI452544,2.09077370427399
PI452619,2.44508482536854
PI452692,2.14629308993999
PI452692,2.30586536052072
PI453106,1.935784684651
PI453106,2.28271573572047
PI453177,1.96943411988653
PI453696,2.05736502505372
PI453696,2.38433436265909
PI455217,1.89265274905693
PI455217,2.3041921329537
PI455221,2.24766477007279
PI455221,2.07113226283332
PI455221,2.23137821315976
PI455280,2.35612781548328
PI455280,2.03181531962843
PI455280,2.05026245496255
PI455301,2.1568910657988
PI455301,2.28164066812231
PI455301,2.14897429472193
PI455307,2.06431961411589
PI455307,2.34369540505022
PI455307,2.12258902390242
PI505717,2.38696278726846
PI505717,2.05383263017853
PI505717,1.9872414457201
PI505722,2.08109742674774
PI505735,2.10017737402625
PI505735,2.05383263017853
PI506030,2.0020798086016
PI506030,2.05383263017853
PI506069,1.96943411988653
PI506069,1.8687991608665
PI506114,1.95542612609167
PI506122,2.01228880612854
PI508366,2.0020798086016
PI508366,1.87492425382964
PI510757,2.10932337630089
PI510757,1.98287787769276
PI511355,2.14359017476158
PI511355,2.35251904303066
PI511355,2.11528439543389
PI513898,1.78885878276662
PI513898,1.79276301675523
PI514456,1.86255957357855
PI514456,2.07615202961866
PI521019,2.07448714736096
