PI_number,Height
PI329519,0.547774705387823
PI540518,0.230448921378274
PI521290,0.518513939877887
PI569427,0.230448921378274
PI329710,0.569373909615046
PI533998,0.0211892990699381
PI329301,0.617000341120899
PI542718,0.303196057420489
PI329702,0.614897216033135
PI569422,0.332438459915605
PI329256,0.491361693834273
PI569148,0.426511261364575
PI561840,0.110589710299249
PI329665,0.514547752660286
PI563330,0.549003262025788
PI329841,0.633468455579587
PI156393,0.41161970596323
PI297155,0.348304863048161
PI297155,0.378397900948138
PI152963,0.523746466811564
PI570145,0.460897842756548
PI329617,0.519827993775719
PI156268,0.620136054973758
PI329843,0.469822015978163
PI452692,0.555094448578319
PI329569,0.60422605308447
PI569423,0.356025857193123
PI562970,0.431363764158987
PI452544,0.591064607026499
PI329403,0.619093330626743
PI156487,0.502427119984433
PI570109,0.326335860928751
PI196049,0.683947130751512
PI330196,0.598790506763115
PI181083,0.2405492482826
PI52606,0.247973266361807
PI593916,0.0128372247051722
PI619838,0.357934847000454
PI156018,0.440909082065218
PI92270,0.45484486000851
PI329310,0.631443769013172
PI569443,0.403120521175818
PI152728,0.484299839346786
PI330185,0.697229342759718
PI656015,0.123851640967086
PI154844,0.595496221825574
PI455217,0.640481436970422
PI535794,0.184691430817599
PI157804,0.472756449317212
PI300119,0.501059262217751
PI562985,0.409933123331295
PI569452,0.0128372247051722
PI152694,0.382017042574868
PI585577,0.60530504614111
PI569446,0.363611979892144
PI562732,0.6232492903979
PI563332,0.694605198933569
PI329511,0.565847818673518
PI569421,-0.0506099933550872
PI251672,0.492760389026838
PI550604,0.184691430817599
PI569097,0.550228353055094
PI576399,0.409933123331295
PI156203,0.528916700277655
PI643016,0.562292864456475
PI329584,0.587710965018911
PI154844,0.557507201905658
PI526905,0.0791812460476248
PI329570,0.540329474790874
PI563329,0.577491799837225
PI329841,0.643452676486187
